Goal_X,Goal_Y,Epsilon,N,Iteracion,Exito,Tiempo_s,Waypoints
5.0,0.0,0.2,100,1,False,0.0249,1
5.0,0.0,0.2,100,2,False,0.0117,1
5.0,0.0,0.2,100,3,False,0.0171,1
5.0,0.0,0.2,100,4,False,0.0188,1
5.0,0.0,0.2,100,5,False,0.0107,1
5.0,0.0,0.2,100,6,False,0.0116,1
5.0,0.0,0.2,100,7,False,0.0256,1
5.0,0.0,0.2,100,8,False,0.0129,1
5.0,0.0,0.2,100,9,False,0.0099,1
5.0,0.0,0.2,100,10,False,0.0111,1
5.0,0.0,0.2,300,1,False,0.0410,1
5.0,0.0,0.2,300,2,False,0.0377,1
5.0,0.0,0.2,300,3,False,0.0356,1
5.0,0.0,0.2,300,4,True,0.0276,35
5.0,0.0,0.2,300,5,False,0.0348,1
5.0,0.0,0.2,300,6,False,0.0342,1
5.0,0.0,0.2,300,7,False,0.0340,1
5.0,0.0,0.2,300,8,False,0.0415,1
5.0,0.0,0.2,300,9,True,0.0225,30
5.0,0.0,0.2,300,10,False,0.0421,1
5.0,0.0,0.2,600,1,True,0.0961,36
5.0,0.0,0.2,600,2,False,0.0990,1
5.0,0.0,0.2,600,3,False,0.1102,1
5.0,0.0,0.2,600,4,False,0.0828,1
5.0,0.0,0.2,600,5,False,0.0748,1
5.0,0.0,0.2,600,6,False,0.0809,1
5.0,0.0,0.2,600,7,False,0.0821,1
5.0,0.0,0.2,600,8,False,0.0922,1
5.0,0.0,0.2,600,9,False,0.0978,1
5.0,0.0,0.2,600,10,False,0.0845,1
5.0,0.0,0.2,900,1,False,0.1445,1
5.0,0.0,0.2,900,2,True,0.1050,44
5.0,0.0,0.2,900,3,False,0.1684,1
5.0,0.0,0.2,900,4,False,0.1719,1
5.0,0.0,0.2,900,5,True,0.0830,38
5.0,0.0,0.2,900,6,False,0.1603,1
5.0,0.0,0.2,900,7,False,0.1462,1
5.0,0.0,0.2,900,8,False,0.1589,1
5.0,0.0,0.2,900,9,False,0.1524,1
5.0,0.0,0.2,900,10,True,0.0274,32
5.0,0.0,0.5,100,1,True,0.0171,13
5.0,0.0,0.5,100,2,False,0.0143,1
5.0,0.0,0.5,100,3,True,0.0249,13
5.0,0.0,0.5,100,4,True,0.0143,18
5.0,0.0,0.5,100,5,False,0.0162,1
5.0,0.0,0.5,100,6,False,0.0133,1
5.0,0.0,0.5,100,7,True,0.0174,15
5.0,0.0,0.5,100,8,True,0.0249,13
5.0,0.0,0.5,100,9,True,0.0067,14
5.0,0.0,0.5,100,10,True,0.0134,13
5.0,0.0,0.5,300,1,False,0.0530,1
5.0,0.0,0.5,300,2,True,0.0152,14
5.0,0.0,0.5,300,3,True,0.0243,18
5.0,0.0,0.5,300,4,True,0.0201,14
5.0,0.0,0.5,300,5,True,0.0304,13
5.0,0.0,0.5,300,6,True,0.0179,16
5.0,0.0,0.5,300,7,True,0.0142,15
5.0,0.0,0.5,300,8,True,0.0152,13
