Meta X     | Meta Y     | Diagonals       | Tiempo (ms)    
--------------------------------------------------------------------------------------------------------------
5.000      | 0.000      | true            |8.03           
8.000      | 0.000      | true            |965.76         
8.000      | 0.000      | true            |961.18         
8.000      | 0.000      | true            |984.38         
5.000      | 0.000      | true            |7.99           
5.000      | 0.000      | true            |8.28           
5.000      | 0.000      | true            |8.29           
1.000      | -4.000     | true            |175.61         
1.000      | -4.000     | true            |174.43         
1.000      | -4.000     | true            |174.62         
9.000      | 2.000      | true            |1372.81        
9.000      | 2.000      | true            |1371.96        
9.000      | 2.000      | true            |1399.58        
-7.000     | -3.000     | true            |304.75         
-7.000     | -3.000     | true            |304.27         
-7.000     | -3.000     | true            |307.25         
-8.000     | 1.000      | true            |201.49         
-8.000     | 1.000      | true            |197.94         
-8.000     | 1.000      | true            |202.74         
-8.000     | 1.000      | true            |622.60         
-8.000     | 1.000      | true            |615.27         
-8.000     | 1.000      | true            |613.43         
-8.000     | 1.000      | false           |344.76         
-8.000     | 1.000      | false           |348.88         
-8.000     | 1.000      | false           |345.39         
-8.000     | 1.000      | false           |131.87         
-8.000     | 1.000      | false           |130.69         
-8.000     | 1.000      | false           |158.18         
5.000      | 0.000      | false           |6.22           
5.000      | 0.000      | false           |6.06           
5.000      | 0.000      | false           |6.33           
8.000      | 0.000      | false           |618.55         
8.000      | 0.000      | false           |589.12         
8.000      | 0.000      | false           |590.53         
1.000      | -4.000     | false           |98.43          
1.000      | -4.000     | false           |98.72          
1.000      | -4.000     | false           |98.15          
9.000      | 2.000      | false           |751.81         
9.000      | 2.000      | false           |739.57         
9.000      | 2.000      | false           |737.15         
-7.000     | -3.000     | false           |208.86         
-7.000     | -3.000     | false           |210.27         
-7.000     | -3.000     | false           |208.47         
