test_id,scenario,repetition,use_diagonals,start_x,start_y,goal_x,goal_y,direct_distance_m,success,time_ms,path_nodes,path_length_m,detour_ratio
1,"Meta1_(5.0,0.0)_SinDiag",1,False,0.0,0.0,5.0,0.0,5.0,True,18.724,100,4.95,0.99
2,"Meta1_(5.0,0.0)_ConDiag",1,True,0.0,0.0,5.0,0.0,5.0,True,20.566,100,4.95,0.99
3,"Meta2_(7.0,-4.0)_SinDiag",1,False,0.0,0.0,7.0,-4.0,8.0623,True,204.222,220,10.95,1.3582
4,"Meta2_(7.0,-4.0)_ConDiag",1,True,0.0,0.0,7.0,-4.0,8.0623,True,112.86,140,8.5861,1.065
5,"Meta3_(6.0,-2.5)_SinDiag",1,False,0.0,0.0,6.0,-2.5,6.5,True,119.38,170,8.45,1.3
6,"Meta3_(6.0,-2.5)_ConDiag",1,True,0.0,0.0,6.0,-2.5,6.5,True,121.348,120,6.9855,1.0747
7,"Meta4_(2.0,3.0)_SinDiag",1,False,0.0,0.0,2.0,3.0,3.6056,True,111.014,100,4.95,1.3729
8,"Meta4_(2.0,3.0)_ConDiag",1,True,0.0,0.0,2.0,3.0,3.6056,True,148.528,60,3.7577,1.0422
9,"Meta5_(1.0,5.0)_SinDiag",1,False,0.0,0.0,1.0,5.0,5.099,True,56.844,120,5.95,1.1669
10,"Meta5_(1.0,5.0)_ConDiag",1,True,0.0,0.0,1.0,5.0,5.099,True,89.307,100,5.3642,1.052
11,"Meta6_(-4.0,-4.0)_SinDiag",1,False,0.0,0.0,-4.0,-4.0,5.6569,True,95.104,160,7.95,1.4054
12,"Meta6_(-4.0,-4.0)_ConDiag",1,True,0.0,0.0,-4.0,-4.0,5.6569,True,65.278,103,6.2598,1.1066
13,"Meta7_(-8.0,-3.0)_SinDiag",1,False,0.0,0.0,-8.0,-3.0,8.544,True,164.966,220,10.95,1.2816
14,"Meta7_(-8.0,-3.0)_ConDiag",1,True,0.0,0.0,-8.0,-3.0,8.544,True,145.414,160,9.1926,1.0759
15,"Meta8_(-8.0,1.0)_SinDiag",1,False,0.0,0.0,-8.0,1.0,8.0623,True,128.484,196,9.75,1.2093
16,"Meta8_(-8.0,1.0)_ConDiag",1,True,0.0,0.0,-8.0,1.0,8.0623,True,131.28,160,8.6956,1.0786
17,"Meta9_(-3.5,2.5)_SinDiag",1,False,0.0,0.0,-3.5,2.5,4.3012,True,103.8,136,6.75,1.5693
18,"Meta9_(-3.5,2.5)_ConDiag",1,True,0.0,0.0,-3.5,2.5,4.3012,True,151.297,116,6.1642,1.4332
19,"Meta10_(8.0,2.5)_SinDiag",1,False,0.0,0.0,8.0,2.5,8.3815,True,165.031,210,10.45,1.2468
20,"Meta10_(8.0,2.5)_ConDiag",1,True,0.0,0.0,8.0,2.5,8.3815,True,221.792,190,9.8642,1.1769
