scenario,diagonals,euclidean_dist_m,success_rate,time_mean_ms,time_std_ms,nodes_mean,length_mean_m,length_std_m,detour_mean
"Meta1_(5.0,0.0)_SinDiag",No,5.0,100.0,11.1926,2.5111338673993466,100.0,4.95,0.0,0.99
"Meta1_(5.0,0.0)_ConDiag",Sí,5.0,100.0,13.0692,8.118366812358259,100.0,4.95,0.0,0.99
"Meta2_(7.0,-4.0)_SinDiag",No,8.0623,100.0,137.123,10.55850671259909,220.0,10.95,0.0,1.3582
"Meta2_(7.0,-4.0)_ConDiag",Sí,8.0623,100.0,61.9412,10.621759844771484,140.0,8.6069,0.0,1.0675
"Meta3_(6.0,-2.5)_SinDiag",No,6.5,100.0,104.6348,40.27127315717743,170.0,8.45,0.0,1.3
"Meta3_(6.0,-2.5)_ConDiag",Sí,6.5,100.0,126.199,139.90638858894184,120.0,6.9855,0.0,1.0747
"Meta4_(2.0,3.0)_SinDiag",No,3.6056,100.0,180.5982,6.433961120491788,100.0,4.95,0.0,1.3729
"Meta4_(2.0,3.0)_ConDiag",Sí,3.6056,100.0,294.943,12.300025304852015,60.0,3.7577,0.0,1.0422
"Meta5_(1.0,5.0)_SinDiag",No,5.099,100.0,102.8824,2.0634565175937194,120.0,5.95,0.0,1.1669
"Meta5_(1.0,5.0)_ConDiag",Sí,5.099,100.0,182.7102,7.187161101575502,100.0,5.3642,0.0,1.052
"Meta6_(-4.0,-4.0)_SinDiag",No,5.6569,100.0,123.681,3.2387117037488826,160.0,7.95,0.0,1.4054
"Meta6_(-4.0,-4.0)_ConDiag",Sí,5.6569,100.0,148.96179999999998,8.044626075834731,116.0,6.6613,0.0,1.1776
"Meta7_(-8.0,-3.0)_SinDiag",No,8.544,100.0,173.9666,6.896759043202825,220.0,10.95,0.0,1.2816
"Meta7_(-8.0,-3.0)_ConDiag",Sí,8.544,100.0,230.34099999999998,6.323114462035307,175.0,9.632,0.0,1.1273
"Meta8_(-8.0,1.0)_SinDiag",No,8.0623,100.0,109.6404,9.995956447484152,206.0,10.25,0.0,1.2714
"Meta8_(-8.0,1.0)_ConDiag",Sí,8.0623,100.0,145.8642,5.075517825798659,173.0,9.2835,0.0,1.1515
"Meta9_(-3.5,2.5)_SinDiag",No,4.3012,100.0,163.7996,13.371408276617696,148.0,7.35,0.0,1.7088
"Meta9_(-3.5,2.5)_ConDiag",Sí,4.3012,100.0,255.71819999999997,8.164075924438723,131.0,6.8521,0.0,1.5931
"Meta10_(8.0,2.5)_SinDiag",No,8.3815,100.0,526.1845999999999,49.45576404525565,244.0,12.15,0.0,1.4496
"Meta10_(8.0,2.5)_ConDiag",Sí,8.3815,100.0,864.2299999999999,22.347927085078805,216.0,11.3299,0.0,1.3518
